date,open,high,low,close,volume
1656547200000,1100.21,1106.62,998,1071.01,1420670.3656
1656633600000,1071.02,1117,1033.44,1059.73,1562255.1439
1656720000000,1059.73,1078.88,1028.29,1067.01,714812.0804
1656806400000,1067.01,1088.34,1040.78,1074.26,644746.3337
1656892800000,1074.26,1160.9,1045.37,1151,1150108.9861
1656979200000,1151.01,1174.9,1076.34,1132.5,1398961.4495
1657065600000,1132.51,1205,1111.44,1186.57,1211768.0757
1657152000000,1186.57,1254.29,1163.18,1237.49,1001316.079
1657238400000,1237.49,1276.46,1193.15,1214.04,1189518.3631
1657324800000,1214.03,1235.4,1204.67,1217.02,576337.1809
1657411200000,1217.02,1219.95,1153,1168.36,1018038.6506
1657497600000,1168.37,1171.29,1091.71,1096.4,1201652.3048
1657584000000,1096.37,1098.26,1033.46,1038.58,1261349.6321
1657670400000,1038.58,1119.18,1006.32,1115,2035605.8299
1657756800000,1115.01,1214.65,1072.11,1193.42,1605101.9262
1657843200000,1193.42,1287.82,1181.05,1231.25,1466037.2584
1657929600000,1231.25,1422.91,1191.23,1355.85,1493809.9226
1658016000000,1355.84,1387,1319.04,1338.65,1246202.8795
1658102400000,1338.65,1597.47,1336.07,1581.04,2029918.76521
1658188800000,1581.03,1631,1493.11,1542.32,1846048.6816
1658275200000,1542.33,1620.4,1484.23,1521.58,1351177.4247
1658361600000,1521.63,1605.98,1463.56,1575.45,1247327.4963
1658448000000,1575.45,1650.05,1516.11,1535.27,1170723.0873
1658534400000,1535.27,1596.51,1488,1548.67,851284.7339
1658620800000,1548.66,1664.34,1545.67,1597.7,1009935.8997
1658707200000,1597.7,1609.55,1435.58,1440.79,1418390.9809
1658793600000,1440.79,1454.11,1356.17,1449.12,1199643.7408
1658880000000,1449.12,1644.44,1420.83,1635.74,1513426.0413
1658966400000,1635.74,1784.79,1593.27,1724.52,1578145.07555
1659052800000,1724.52,1765.99,1655.02,1721.68,1205266.5703
1659139200000,1721.68,1744.85,1673.01,1697,735132.5286
1659225600000,1697,1754.69,1666,1678.12,696326.8079
1659312000000,1678.12,1704.68,1606.12,1630.28,801566.5648
1659398400000,1630.28,1678,1559.28,1630.91,1081964.5104
1659484800000,1630.91,1685.03,1589.71,1618.16,777724.7413
1659571200000,1618.16,1662.79,1580.39,1607.96,735552.181
1659657600000,1607.97,1742.07,1605.64,1736.81,1005846.4712
1659744000000,1736.81,1749.93,1685.26,1690.6,523314.6444
1659830400000,1690.6,1729.79,1668,1700.19,439904.764
1659916800000,1700.2,1818,1693.87,1777.05,781620.5443
1660003200000,1777.05,1790.83,1667.93,1702.76,818171.1019
1660089600000,1702.76,1885,1656.78,1853.57,1317767.5127
1660176000000,1853.58,1942,1850.32,1880.19,1105261.9009
1660262400000,1880.19,1964.71,1853.06,1958.28,717628.1015
1660348800000,1958.28,2020,1946.5,1983.55,695876.0293
1660435200000,1983.55,2030,1906,1935.31,569583.4852
1660521600000,1935.32,2012.47,1872.31,1899.06,949162.3305
1660608000000,1899.05,1915,1853,1876.67,622729.1499
1660694400000,1876.67,1959.43,1818.74,1834.25,951824.8975
1660780800000,1834.24,1882.37,1821.25,1846.39,606254.024
1660867200000,1846.39,1848,1602.37,1609.01,1419826.9515
1660953600000,1609,1657.08,1523.67,1576.04,914615.9226
1661040000000,1576.03,1646.52,1562.34,1618.13,780662.6062
1661126400000,1618.13,1629.72,1529.92,1624.66,941192.8954
1661212800000,1624.65,1676.07,1563.76,1665.41,940246.932
1661299200000,1665.4,1694.13,1604.92,1656.56,744667.6078
1661385600000,1656.56,1722,1653.68,1695.11,603090.713
1661472000000,1695.11,1706.45,1486.85,1508.18,1149912.8292
1661558400000,1508.18,1518.42,1447.52,1491.06,756136.6768
1661644800000,1491.06,1511,1424,1426.76,544846.4486
1661731200000,1426.76,1559.99,1422.08,1551.8,826252.0831
1661817600000,1551.79,1606.13,1473.61,1524.59,1003075.0172
1661904000000,1524.59,1619.78,1524.59,1554.1,949227.6775
1661990400000,1554.11,1599,1512.77,1586.16,728710.482
1662076800000,1586.17,1650,1546.41,1575.35,919009.6598
1662163200000,1575.35,1582.71,1534.28,1557.46,321397.2189
1662249600000,1557.45,1583.66,1540.66,1579.28,296591.1166
1662336000000,1579.29,1631.99,1556.56,1617.8,503492.937
1662422400000,1617.8,1687.4,1555,1559.01,1010722.8578
1662508800000,1559.01,1657.5,1490.66,1630,850991.4243
1662595200000,1630,1663.56,1595.06,1635.37,645124.0085
1662681600000,1635.37,1746.13,1630.51,1718.23,837458.2126
1662768000000,1718.24,1789,1706.03,1774.12,411046.2466
1662854400000,1774.12,1789,1720.1,1766.11,409287.7263
1662940800000,1766.12,1783,1693,1716.37,630774.6032
1663027200000,1716.37,1760.51,1560.54,1574.4,1134549.7256
1663113600000,1574.4,1647.01,1552.38,1638.39,764562.5393
1663200000000,1638.4,1655.2,1458,1472.75,1335499.8047
1663286400000,1472.76,1483.35,1405.52,1433.9,693597.2425
1663372800000,1433.9,1476.13,1409.12,1468.83,421391.3743
1663459200000,1468.82,1469.63,1325.55,1334.51,804113.468
1663545600000,1334.51,1393.35,1280,1375.98,974855.198
1663632000000,1375.98,1384.78,1312.71,1322.93,658027.1465
1663718400000,1322.94,1408.9,1220,1245.78,1192266.7379
1663804800000,1245.79,1350.08,1237.32,1326.46,904282.2725
1663891200000,1326.47,1360,1262.15,1327.25,974052.3644
1663977600000,1327.24,1349.33,1306.52,1317.13,517557.3497
1664064000000,1317.13,1337,1269.27,1294.63,515533.8409
1664150400000,1294.62,1340.42,1277.85,1336.17,799166.4333
1664236800000,1336.17,1400,1303.75,1328.02,860584.8944
1664323200000,1328.01,1355.7,1253.2,1337.2,919314.9131
1664409600000,1337.2,1352.02,1288.52,1335.7,770591.6895
1664496000000,1335.69,1373.19,1313.35,1328.72,740753.611
1664582400000,1328.71,1333.69,1302.68,1311.79,252081.9056
1664668800000,1311.79,1317.93,1270,1276.72,371740.0407
1664755200000,1276.72,1329.9,1263.04,1323.09,483775.2435
1664841600000,1323.1,1369.55,1318.66,1361.49,476207.6702
1664928000000,1361.5,1364.77,1316.29,1352.2,483508.7782
1665014400000,1352.2,1383.99,1345.01,1352.06,573975.324
1665100800000,1352.07,1361.75,1317.26,1331.1,491999.8776
1665187200000,1331.1,1337.35,1303.51,1315.48,203391.6612
1665273600000,1315.48,1329,1307.26,1323.13,186201.9185
1665360000000,1323.13,1338,1288,1290.03,393663.0114
1665446400000,1290.03,1298,1267.01,1280.11,429430.3941
1665532800000,1280.11,1306.87,1275.25,1294.44,369712.5759
1665619200000,1294.44,1301.58,1190,1287.08,945618.3163
1665705600000,1287.08,1343.12,1283.39,1296.27,669742.8093
1665792000000,1296.26,1301.69,1263.64,1274.92,287100.9529
1665878400000,1274.93,1315.35,1274.67,1305.95,293321.3632
1665964800000,1305.96,1338.57,1295.64,1331.4,459848.4941
1666051200000,1331.39,1341.73,1286.72,1310.71,572728.9189
1666137600000,1310.71,1313.5,1280.31,1285.09,368637.5105
1666224000000,1285.09,1310.87,1270.36,1282.57,428531.6103
1666310400000,1282.57,1306.97,1252.65,1299.75,468076.7986
1666396800000,1299.76,1310.74,1294.32,1309.99,106546.8897
